,Event times,Fitted stations,Moveout intercept,Moveout slope (s/km),Event?,
0,2011-06-24T16:34:01.680000Z,6,-1.332421116,0.537619255,Y,
1,2011-06-24T16:37:05.300000Z,6,-0.563276999,0.311069732,Y,
2,2011-06-24T16:40:53.470000Z,8,-5.139587501,0.918281796,Y,
3,2011-06-24T17:18:26.470000Z,3,-16.95934986,-0.681309893,N,
4,2011-06-24T17:49:56.310000Z,8,-2.562241791,0.072238013,?,
5,2011-06-24T18:25:28.420000Z,3,-41.25145634,3.999226284,?,
6,2011-06-24T18:28:31.350000Z,3,-6.661565289,1.34056188,N,
7,2011-06-24T18:44:38.350000Z,3,-32.20334012,-0.432964752,?,
8,2011-06-24T18:47:18.580000Z,4,7.677854204,-0.768096006,?,
9,2011-06-24T20:01:15.830000Z,3,-33.40477629,-0.440830456,N,
10,2011-06-24T20:14:08.850000Z,5,-1.899684822,0.300007765,N,
11,2011-06-24T20:17:33.380000Z,4,3.01285928,-0.113095403,N,
12,2011-06-24T20:38:08.270000Z,4,-4.824259058,0.79786839,N,
13,2011-06-24T22:17:36.650300Z,7,2.072341196,0.226641988,Y,
14,2011-06-24T23:39:37.490300Z,5,-3.245751409,-0.093259549,N,
15,2011-06-24T23:58:21.790300Z,3,-122.7921968,-0.918548706,N,
16,2011-06-25T00:19:43.740500Z,3,6.448456864,-0.637193278,?,
17,2011-06-25T00:24:02.900500Z,3,-65.11912665,0.606625979,N,
18,2011-06-25T00:44:46.840500Z,5,-4.750220976,0.523421178,N,
19,2011-06-25T01:30:49.590500Z,5,3.236735036,-0.364567301,?,
20,2011-06-25T02:02:38.110500Z,5,-2.213691781,0.338876371,?,
21,2011-06-25T02:10:11.440500Z,4,-2.765463057,0.291829504,N,
22,2011-06-25T02:18:47.270500Z,6,-3.309099311,0.433016872,?,
23,2011-06-25T03:04:27.640300Z,3,-16.84061255,0.167822874,N,
24,2011-06-25T04:02:30.500000Z,5,5.544016957,-0.299269354,?,
25,2011-06-25T04:34:11.810000Z,4,6.346422106,-0.724666999,N,
